cSMILES,activity
Cc1cc(C2CC2)nc(Nc2ccccc2)n1,91.0
Nc1nc(N)nc(NC2CC2)n1,24.2
Nc1ccn(C2OC(CO)[C@@H](O)C2O)c(=O)n1,8.7
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,25.0
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,14.9
CCCCCCCCCC=O,94.7
O=C(O)CCCCCCCCC(=O)O,39.5
CCCCCCCCCC(O)=O,93.7
CCN(CC)C(=O)c1cccc(C)c1,51.8
CC(=O)C1C(=O)C=C(C)OC1=O,41.0
C[C@]12CC[C@H](O)CC1=CCC1C2CC[C@]2(C)C(=O)CCC12,37.5
CCNc1nc(N)nc(Cl)n1,20.2
CC[N+](CC)(CC(=O)Nc1c(C)cccc1C)Cc1ccccc1,12.7
CC[N+](CC)(CC(=O)Nc1c(C)cccc1C)Cc1ccccc1,21.5
C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)([O-])[O-],7.1
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,15.1
CC(C)(C)OOC(C)(C)C,6.8
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,5.6
CC(=O)CC(C)(C)O,-17.0
C=CCOC(=O)c1ccccc1C(=O)OCC=C,65.2
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,39.1
O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,9.7
c1ccc2c(c1)sc1ccccc12,15.7
CCCCOC(=O)c1ccccc1C(=O)OCCCC,70.8
CCCCOC(=O)CCCCC(=O)OCCCC,9.9
CCCCOC(=O)CCCCCCCC(=O)OCCCC,29.2
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-0.5
COc1c(Cl)ccc(Cl)c1C(=O)O,62.8
C=CCN(CC=C)C(=O)C(Cl)Cl,17.2
Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,105.5
CC(Oc1ccc(Cl)cc1Cl)C(=O)O,81.7
COP(=O)(OC)OC=C(Cl)Cl,13.9
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,64.6
CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,80.7
C1CCC(SSC2CCCCC2)CC1,22.7
O=C(OC1CCCCC1)c1ccccc1C(=O)OC1CCCCC1,37.8
O=C(CC(C(=O)OC1CCCCC1)S(=O)(=O)[O-])OC1CCCCC1,74.0
C1=CC2C3C=CC(C3)C2C1,13.6
O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,1.7
ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@@H]45)[C@@H]3[C@@]1(Cl)C2(Cl)Cl,25.9
OCCNCCO,14.6
CCOC(=O)CCC(=O)OCC,6.4
CCO[P+](=O)OCC,6.4
CCOC(=O)c1ccccc1C(=O)OCC,44.1
CCOS(=O)(=O)OCC,-4.0
OCCOCCO,0.4
O=C(OCCOCCOC(=O)c1ccccc1)c1ccccc1,29.2
COCCOCCO,10.3
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,103.2
Cn1c(-c2ccccc2)cc(-c2ccccc2)[n+]1C,91.0
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,-8.0
COc1ccc(-n2nc(C(F)F)cc2-c2ccc(S(C)=O)cc2)cc1,33.1
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,13.1
CCCCCCOC(=O)CCCCC(=O)OCCCCCC,1.0
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,17.7
C=CC(=C)CCCC(C)(C)O,28.9
CC(C)COC(=O)CCCCC(=O)OCC(C)C,63.2
CC(C)CCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC(C)C,4.6
CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,101.9
CC(C)CCCCCCOC(=O)CCCCC(=O)OCCCCCCC(C)C,-3.7
CC(C)CCCCCCOC(=O)C1CCCCC1C(=O)OCCCCCCC(C)C,-35.9
CC(C)CCCCCOC(=O)CCCCC(=O)OCCCCCC(C)C,21.0
CC(O)CNCC(C)O,11.5
CC(C)OC(=O)c1ccccc1C(=O)OC(C)C,56.5
CNC(=O)CSP(=S)(OC)OC,39.7
CC(=O)OC1CC(C)OC(C)O1,-24.1
CO[Si](C)(C)OC,3.5
COC(=O)CCCC(=O)OC,8.1
COC(=O)c1cccc(C(=O)OC)c1,40.7
COP(C)(=O)OC,13.0
COC(=O)c1ccccc1C(=O)OC,38.2
COC(=O)CCC(=O)OC,5.0
COS(=O)(=O)OC,11.9
COC(=O)c1ccc(C(=O)OC)cc1,39.6
C[As](C)(=O)O,-1.8
CN(C)C(=O)Cl,-3.9
C[Sn](C)(Cl)Cl,-1.7
CC(C)(C)C(O)/C(=C\c1ccc(Cl)cc1Cl)n1cncn1,82.7
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,109.0
CNC(=N[N+](=O)[O-])NCC1CCOC1,7.4
CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C,13.4
CCCCCOC(=O)c1ccccc1C(=O)OCCCCC,49.6
O=C(Oc1ccccc1)c1cccc(C(=O)Oc2ccccc2)c1,79.0
c1ccc(Oc2ccccc2)cc1,57.9
O=P(O)(Oc1ccccc1)Oc1ccccc1,45.8
c1ccc(Nc2ccccc2)cc1,83.8
CCCOC(=O)c1ccc(C(=O)OCCC)nc1,33.2
COCCOCCO,-5.3
CC(COCC(C)OC(=O)c1ccccc1)OC(=O)c1ccccc1,34.7
CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C,44.8
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,34.4
C=Cc1ccccc1C=C,23.8
CC(=O)Oc1c(C)c(C)c2c(c1C)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,-3.7
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-],104.7
CCCCCCCCCCCCc1ccccc1,-13.6
CCCCCCCCCCCCc1cccc(S(=O)(=O)O)c1,101.8
CCCCCCCCCCCCc1ccccc1S(=O)(=O)O,105.3
CCCCCCCCCCCCc1ccc(O)cc1,99.8
OC(=O)/C=C/C1=CC=CC=C1,53.5
O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,16.4
O=S1OC[C@@H]2[C@H](CO1)[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl,18.9
O=C(O)C1C2CCC(O2)C1C(=O)O,-3.4
CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,78.6
Fc1ccc([C@@]2(Cn3cncn3)O[C@@H]2c2ccccc2Cl)cc1,62.2
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,13.4
CC(C)[C@H](C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,47.1
C=CCc1ccc(OC)cc1,21.6
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,29.7
C[C@]12CCC3c4ccc(O)cc4CCC3C1CCC2=O,15.3
CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,82.6
CCOC(=O)Cc1cccc2ccccc12,84.0
CCOC(=O)C1OC1c1ccccc1,40.1
CCC(=O)c1ccc(Cl)cc1,15.6
CCN(CCO)CCO,4.5
CCCCCC(=O)OCC,1.8
CCCCCCCC/C=C\CCCCCCCC(=O)OCC,17.7
CCOC(OCC)OCC,12.0
CCOC(=O)CC,10.6
C=CCCCCCCCCC(=O)OCC,26.8
OCCO,4.9
CCOCCOC(C)=O,12.3
O=C(OCCOCCOCCOC(=O)c1ccccc1)c1ccccc1,26.0
CCOC(=O)c1ccc(O)cc1,81.3
CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,51.7
CCOc1cc(C(C)(C)C)ccc1C1COC(c2c(F)cccc2F)=N1,40.1
C=CCc1ccc(O)c(OC)c1,91.2
CCc1cc(C2=C(C(=O)[O-])N(c3ccccc3C(F)(F)F)S(=O)(=O)c3ccccc32)cc2c1OCO2,81.3
CC(C)=CCCC(C)=CCCC(C)=CCO,90.0
CCN(Cc1cccc(S(=O)(=O)[O-])c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)[O-])c3)C=C2)c2ccc(O)cc2S(=O)(=O)[O-])cc1,56.9
O=S(=O)([O-])c1ccc(/N=N/c2c(O)ccc3cc(S(=O)(=O)[O-])ccc23)cc1,97.9
CSC1=N[C@@](C)(c2ccccc2)C(=O)N1Nc1ccccc1,35.3
CC12CCC(C1)C(C)(C)C2O,3.6
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,98.4
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,24.8
CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1,83.7
COP(=S)(OC)Oc1ccc(SC)c(C)c1,94.0
CN(C)C(=O)Nc1ccccc1,6.9
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,57.4
O=c1cc(-c2ccccc2)oc2ccccc12,95.1
O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1Nc1ncc(C(F)(F)F)cc1Cl,108.7
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,8.8
CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c1ccc(F)cc1,66.8
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Oc2ccc(C(F)(F)F)cc2Cl)cc1F,20.0
CCOC(=O)COc1cc(-n2ncc(C(F)(F)F)c(C)c2=O)c(F)cc1Cl,24.7
CCN(Cc1c(F)cccc1Cl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],61.1
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21,85.2
CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,54.8
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,45.8
CO/N=C(/C1=NOCCO1)c1ccccc1Oc1ncnc(Oc2ccccc2Cl)c1F,88.2
Nc1c(Cl)c(F)nc(OCC(=O)O)c1Cl,84.5
CCCCCCC(C)OC(=O)COc1nc(F)c(Cl)c(N)c1Cl,84.2
C[Si](Cn1cncn1)(c1ccc(F)cc1)c1ccc(F)cc1,52.2
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,30.4
CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,75.6
CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],97.6
O=C(Nc1ccccc1)Nc1ccnc(Cl)c1,54.6
C=O,14.6
NC=O,2.3
Cc1oc2c(NC(=O)c3c(Cl)cccc3Cl)cccc2c1C(C)(C)O,102.1
OC(=O)/C=C/C(O)=O,6.0
CCCOC(=O)c1cc(O)c(O)c(O)c1,104.8
O=C1CCCO1,11.3
CCC1CCC(=O)O1,54.0
CCCC1CCC(=O)O1,10.6
CCCCCC1CCC(=O)O1,13.3
CC(=O)OC/C=C(\C)CCC=C(C)C,24.6
C=C1C[C@]23C[C@]1(O)CCC2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)C2[C@@H]3C(=O)O,-5.4
CCCCCCCC(=O)OCC(O)CO,35.0
CCCCCCCCC=CCCCCCCCC(=O)OCC(O)CO,76.5
CCCCCCC(O)CC=CCCCCCCCC(=O)OCC(O)CO,85.6
CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO,9.3
OCC1CO1,2.9
CCCCCCCCCc1ccc(OCCO)cc1,44.3
O=C1NC2NC(=O)NC2N1,6.5
CCCCCCC(CCCCCCCCCCC(=O)OCC(COC(C)=O)OC(C)=O)OC(C)=O,21.2
N#Cc1ccc(N(CC(N)=O)CC(F)(F)F)cc1C(F)(F)F,21.3
CCN(C(=O)c1cc(C)cc(OC[C@H](C)Nc2ccncc2)c1)C(C)C,5.9
ClC1=C(Cl)[C@]2(Cl)C3C([C@@H]4O[C@@H]4[C@@H]3Cl)C1(Cl)C2(Cl)Cl,-20.2
CCCCCCC=O,56.9
CCCCCCC(O)=O,43.3
CCCCCCC(=O)c1ccccc1,41.7
CCCCCCCOC(=O)CCC,18.6
CCCCCCCOC(=O)c1ccc(O)cc1,103.0
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,98.9
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,98.4
CCCCC(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,69.0
CCCCCCCCCCCCCCCC,10.1
CCCCCCCCCCCCCCCC(O)=O,53.4
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)F)c(Cl)c1,-18.9
O=C(OCCCCCCOC(=O)c1ccccc1)c1ccccc1,26.8
N#CCCCCC#N,15.9
OC(=O)CCCCC(O)=O,13.8
CCCC(CC)COC(=O)CCCCCC(=O)OCC(C)C(C)CC,11.6
CCCCCC(O)=O,11.2
CN(C)c1nc(=O)n(C2CCCCC2)c(=O)n1C,21.6
CCCCCCOC(=O)c1ccccc1,51.2
C[C@H]1[C@H](c2ccc(Cl)cc2)SC(=O)N1C(=O)NC1CCCCC1,56.4
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-6.7
Oc1ccc(O)cc1,19.9
COc1ccc(OC)cc1,19.2
CC(CC=O)CCCC(C)(C)O,28.7
CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,29.8
CCC(C)OC(=O)N1CCCCC1CCO,13.4
CC(C)CCCCCCc1ccc(OCCOCCO)cc1,2.8
COC(=O)c1ccc(C)cc1C1=NC(C)(C(C)C)C(=O)N1,12.2
Cc1cnc(C2=NC(=O)C(C)(C(C)C)N2)c(C(=O)O)c1,12.5
CC(C)C1(C)N=C(c2nc3ccccc3cc2C(=O)O)NC1=O,14.5
CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,8.2
N1C=CN=C1,3.6
O=C(NCNC(=O)NC1C(=O)NC(=O)N1CO)NC1C(=O)NC(=O)N1CO,20.5
[As]#[In],-16.2
COC(=O)N(C(=O)N1CO[C@@]2(C(=O)OC)Cc3cc(Cl)ccc3C2=N1)c1ccc(OC(F)(F)F)cc1,37.9
O=C(N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)N1C[C@@H](O)[C@@H](O)C1)c1cc2cc(Cl)ccc2[nH]1,52.2
COC(=O)c1ccc(I)cc1S(=O)(=O)[N-]C(=O)Nc1nc(C)nc(OC)n1,96.9
CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O,102.5
CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,75.6
CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)C2,-7.8
CC(=O)O[C@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,12.6
CCC(=O)O[C@@H]1CC2CC[C@]1(C)C2(C)C,10.6
CC=Cc1ccc(O)c(OC)c1,88.8
NNC(=O)c1ccncc1,76.8
CC(C)CCCCCCCCCCCCCCC(=O)O,103.9
C=CC(=O)OCCCCCC(C)C,19.9
CC(=O)OC(C)C,11.2
CC(C)OC=O,13.0
CCCCCCCCCCCCCC(=O)OC(C)C,7.8
Cc1ccc(C(C)C)cc1O,80.5
CCC(C)(CC)c1cc(NC(=O)c2c(OC)cccc2OC)on1,79.6
CO/N=C(/C(=O)OC)c1ccccc1COc1ccccc1C,94.0
O[C@H]([C@@H](O)C(O)=O)C(O)=O,19.0
CCOC(=O)C(C)OC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],51.8
OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,7.2
CC1(C)[C@H](/C=C(\Cl)C(F)(F)F)[C@@H]1C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1,57.4
CC(C)=CCC[C@](C)(O)[C@@H]1CC=C(C)CC1,41.0
C#C[C@]1(O)CCC2C3CCC4=CC(=O)CCC4C3CC[C@@]21CC,18.0
C=CC(C)(O)CCC=C(C)C,13.0
C=CC(C)(CCC=C(C)C)OC(C)=O,15.4
CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,74.5
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,60.2
Cc1cccc(O)c1,30.6
Cc1cccc(C)c1,34.2
[O-]C(=O)C1=CC=CC=C1,25.0
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,75.0
OC(=O)/C=C\C(O)=O,11.5
O=c1ccc(=O)[nH][nH]1,11.9
OC(CC(O)=O)C(O)=O,-18.7
S=C([S-])NCCNC(=S)[S-],64.1
S=C([S-])NCCNC(=S)[S-],37.4
CCCCC(CC)COC(=O)c1ccccc1C(=O)O,99.0
Cc1ccccc1C(=O)Nc1cccc(OC(C)C)c1,59.8
CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1,102.0
CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c([N+](=O)[O-])c1,75.8
COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,19.9
CC1(C)CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,31.7
C=C(C)C(N)=O,9.2
C=C(C)C#N,3.5
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,-4.6
COP(N)(=O)SC,17.4
C1N2CN3CN1CN(C2)C3,21.7
COc1nn(CSP(=S)(OC)OC)c(=O)s1,73.9
Cn1cc[nH]c1=S,60.3
CNC(=O)ON=C(C)SC,19.4
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,23.8
COc1cccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)c1C,86.0
COC(=O)c1c(C)cc(O)c(C)c1O,96.9
CCCCCCCCCC(=O)OC,20.2
CCCCCC1C(=O)CCC1CC(=O)OC,20.9
CCCCCCCCCCCC(=O)OC,32.1
CCCCCCCC(=O)OC,15.7
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,92.6
CN(C)c1ccc(/N=N/c2ccccc2C(=O)O)cc1,109.1
COC(=O)c1ccccc1O,33.2
CC(=O)C=Cc1ccccc1,27.3
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,49.3
C=CCc1ccc(OC)c(OC)c1,59.5
CCC(=O)C=CC1C(C)=CCCC1(C)C,49.8
COC(=O)c1ccc(O)cc1,51.5
CSc1nnc(C(C)(C)C)c(=O)n1N,10.7
ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,17.6
CCCCc1ccc2c(n1)[C@@H](c1ccc(OC)cc1C[C@H](C)C(=O)[O-])[C@H](C(=O)[O-])[C@H]2c1ccc2c(c1)OCO2,69.3
CCn1nc(Cc2ccccc2)cc1C1CCN(C[C@H]2C[C@H](N(C)[C@@H](C(=O)O)C(C)C)C[C@@H]2c2cccc(F)c2)CC1,9.6
CO[C@@H]1COCC[C@@H]1[NH2+][C@@H]1CC[C@@](C(=O)N2CCc3ncc(C(F)(F)F)cc3C2)(C(C)C)C1,20.9
CCSC(=O)N1CCCCCC1,11.8
O=C(C(Cl)Cl)N1CCOC12CCCCC2,10.5
CNC(=O)/C=C(\C)OP(=O)(OC)OC,8.0
COC(=O)c1ccccc1C(=O)O,16.0
O=C([O-])c1ccccc1C(=O)O,84.3
CCCCCCCCCCCCCOP(=O)(O)O,104.9
CN(C)C(=O)Nc1ccc(Cl)cc1,12.9
C1COCCN1,-2.4
CCC(=O)Nc1ccc(Cl)c(Cl)c1,58.0
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,86.4
CCCCNS(=O)(=O)c1ccccc1,17.8
CCCCCCCCCCCC(=O)N(C)CC(=O)O,85.9
CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,94.7
CN1CCCC1=O,7.9
CNC(C)=O,20.5
CN(N=O)C(N)=O,0.8
CCCN(CCC)N=O,8.9
CCN(CC)N=O,7.3
CN(C)N=O,-12.8
O=NN(c1ccccc1)c1ccccc1,86.7
Nc1ccc(Nc2ccccc2)cc1,90.1
CCN(CC)CCO,12.7
CCCCCCCCCC[N+](C)(C)[O-],9.3
CCCCCCCC(=O)N(C)C,13.0
O=CNC(N1CCN(C(NC=O)C(Cl)(Cl)Cl)CC1)C(Cl)(Cl)Cl,-4.8
CCCCNC(=S)NCCCC,20.0
CCNC(=S)NCC,5.4
C=CC(=O)NCNC(=O)C=C,50.3
c1ccc2ccccc2c1,34.8
COc1ccc(S(=O)(=O)N2C(=O)[C@@](c3ccccc3OC)(N3C[C@H](O)C[C@H]3C(=O)N(C)C)c3cc(Cl)ccc32)c(OC)c1,21.8
CCC(C)(CCC(C)C)C(=O)O,38.0
C=CC(C)(O)CCC=C(C)CCC=C(C)C,75.4
COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2ncccc2C(=O)N(C)C)n1,17.7
OC(=O)C1=CC=CN=C1,9.9
Clc1cccc(C(Cl)(Cl)Cl)n1,76.0
O=C(O)CN(CC(=O)O)CC(=O)O,2.5
O=[N+]([O-])c1ccccc1,56.1
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,68.4
CCCCCCCCC,3.2
O=C(O)CCCCCCCC(=O)O,20.8
CCCCCCCCC(=O)O,94.0
CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,108.6
C#C[C@]1(O)CCC2C3CCC4=CC(=O)CCC4C3CC[C@@]21C,15.8
CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,48.0
Cc1cc(N=Nc2ccccc2C)ccc1N,111.0
Cc1ccccc1O,47.4
Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,22.5
CCCCCCCCOc1ccc(C(=O)c2ccccc2)c(O)c1,92.7
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,-1.3
CCCCCCCC=O,-4.9
CCCCCCCC(O)=O,80.5
CCCCCCCCn1sccc1=O,40.3
CC(C)(C)CC(C)(C)c1ccc(O)c(-n2nc3ccccc3n2)c1,49.2
CCCCCCCCOC(C)=O,15.0
CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,28.0
CCCCCCCCOC(=O)c1ccc(O)cc1,96.7
CCCCCCCC/C=C\CCCCCCCC(O)=O,98.2
OC(=O)C(O)=O,18.5
CNC(=O)ON=C(SC)C(=O)N(C)C,23.9
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,23.5
CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],59.8
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,19.9
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,23.8
CC(C)(C)[C@@H](O)[C@@H](Cc1ccc(Cl)cc1)n1cncn1,30.4
CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,98.8
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,84.1
CCC(CC)Nc1c([N+](=O)[O-])cc(C)c(C)c1[N+](=O)[O-],105.0
COc1cnc(OC)n2nc(NS(=O)(=O)c3c(OCC(F)F)cccc3C(F)(F)F)nc12,26.5
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,69.7
CCCCCCCCCCCCCCC,4.7
O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],-0.8
CCCCC=O,1.2
O=C(OCCCCCOC(=O)c1ccccc1)c1ccccc1,16.3
CCCCC(O)=O,26.3
CCCCCOC(C)=O,38.3
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,102.9
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,102.2
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,96.4
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,104.7
NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,103.1
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,104.9
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,103.5
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,101.4
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,30.4
COc1ccc(/C=C/S(=O)(=O)[N-]C(=O)c2ccc(C)cc2Cl)cc1,88.8
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,40.7
CCC1(c2ccccc2)C(=O)N=C([O-])NC1=O,7.1
Oc1ccccc1,11.1
O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,103.1
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,100.2
O=C(O)c1ccccc1C(c1ccc(O)cc1)c1ccc(O)cc1,97.3
O=S(=O)(O)c1ccccc1O,19.1
ClP(Cl)c1ccccc1,11.2
O=C(Oc1ccccc1)c1ccccc1O,96.0
O=CCc1ccccc1,55.8
CC(=O)O[Hg]c1ccccc1,4.2
O=C(Oc1ccccc1)c1ccc(O)cc1,105.3
CCOP(=S)(OCC)SCSCC,79.7
CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21,40.2
COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,55.7
OP(O)(O)=O,14.6
CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,99.2
O=C1NC(=O)c2ccccc21,15.9
Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,55.1
CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,88.7
